Lat-Long,Count,
40.72-73.98,4391,
40.67-74.61,1,
40.73-73.89,39,
40.68-74.50,1,
40.73-73.85,108,
40.74-73.72,7,
40.73-73.86,117,
40.74-73.71,4,
40.73-73.87,54,
40.74-73.70,6,
40.73-73.88,24,
40.65-73.58,1,
40.92-74.31,1,
40.65-73.53,1,
40.65-73.56,2,
40.81-73.16,1,
40.65-73.68,1,
40.65-73.69,1,
40.20-74.12,1,
40.65-73.63,4,
40.65-73.64,1,
40.65-73.67,2,
40.71-74.56,1,
40.81-73.22,1,
40.81-73.26,1,
40.81-73.29,2,
40.86-73.47,1,
40.65-73.79,1920,
40.65-73.71,1,
40.65-73.72,1,
40.65-73.73,5,
40.65-73.74,2,
